종목코드,종목명,ISIN코드,기업명
A000020,동화약품,KR7000020008,동화약품(주)
A000040,KR모터스,KR7000040006,KR모터스(주)
A000050,경방,KR7000050005,(주)경방
A000070,삼양홀딩스,KR7000070003,(주)삼양홀딩스
A000080,하이트진로,KR7000080002,하이트진로(주)
A000100,유한양행,KR7000100008,(주)유한양행
A000120,CJ대한통운,KR7000120006,씨제이대한통운(주)
A000140,하이트진로홀딩스,KR7000140004,하이트진로홀딩스(주)
A000150,두산,KR7000150003,(주)두산
A000180,성창기업지주,KR7000180000,성창기업지주(주)
A000210,DL,KR7000210005,디엘 주식회사
A000220,유유제약,KR7000220004,(주)유유제약
A000230,일동홀딩스,KR7000230003,일동홀딩스(주)
A000240,한국앤컴퍼니,KR7000240002,한국앤컴퍼니(주)
A000250,삼천당제약,KR7000250001,삼천당제약(주)
A000270,기아,KR7000270009,기아(주)
A000300,DH오토넥스,KR7000300004,(주)디에이치오토넥스
A000320,노루홀딩스,KR7000320002,(주)노루홀딩스
A000370,한화손해보험,KR7000370007,한화손해보험(주)
A000390,삼화페인트,KR7000390005,삼화페인트공업(주)
A000400,롯데손해보험,KR7000400002,롯데손해보험(주)
A000430,대원강업,KR7000430009,대원강업(주)
A000440,중앙에너비스,KR7000440008,(주)중앙에너비스
A000480,CR홀딩스,KR7000480004,주식회사 시알홀딩스
A000490,대동,KR7000490003,(주)대동
A000500,가온전선,KR7000500009,가온전선(주)
A000520,삼일제약,KR7000520007,삼일제약(주)
A000540,흥국화재,KR7000540005,흥국화재해상보험(주)
A000590,CS홀딩스,KR7000590000,CS 홀딩스(주)
A000640,동아쏘시오홀딩스,KR7000640003,동아쏘시오홀딩스(주)
A000650,천일고속,KR7000650002,(주)천일고속
A000660,SK하이닉스,KR7000660001,에스케이하이닉스(주)
A000670,영풍,KR7000670000,(주)영풍
A000680,LS네트웍스,KR7000680009,(주)LS네트웍스
A000700,유수홀딩스,KR7000700005,(주)유수홀딩스
A000720,현대건설,KR7000720003,현대건설(주)
A000760,이화산업,KR7000760009,이화산업(주)
A000810,삼성화재,KR7000810002,삼성화재해상보험(주)
A000850,화천기공,KR7000850008,화천기공(주)
A000860,강남제비스코,KR7000860007,강남제비스코(주)
A000880,한화,KR7000880005,(주)한화
A000890,보해양조,KR7000890004,보해양조(주)
A000910,유니온,KR7000910000,(주)유니온
A000950,전방,KR7000950006,(주)전방
A000970,한국주철관,KR7000970004,한국주철관공업(주)
A000990,DB하이텍,KR7000990002,주식회사 DB하이텍
A001000,신라섬유,KR7001000009,신라섬유(주)
A001020,페이퍼코리아,KR7001020007,페이퍼코리아(주)
A001040,CJ,KR7001040005,CJ(주)
A001060,JW중외제약,KR7001060003,JW중외제약(주)
A001070,대한방직,KR7001070002,대한방직(주)
A001080,만호제강,KR7001080001,만호제강(주)
A001120,LX인터내셔널,KR7001120005,(주)LX인터내셔널
A001130,대한제분,KR7001130004,대한제분(주)
A001140,국보,KR7001140003,(주)국보
A001200,유진투자증권,KR7001200005,유진투자증권(주)
A001210,금호전기,KR7001210004,금호전기(주)
A001230,동국홀딩스,KR7001230002,동국홀딩스(주)
A001250,GS글로벌,KR7001250000,(주)지에스글로벌
A001260,남광토건,KR7001260009,남광토건(주)
A001270,부국증권,KR7001270008,부국증권(주)
A001290,상상인증권,KR7001290006,(주)상상인증권
A001340,백광산업,KR7001340009,백광산업(주)
A001360,삼성제약,KR7001360007,삼성제약(주)
A001380,SG글로벌,KR7001380005,(주)SG글로벌
A001390,KG케미칼,KR7001390004,KG케미칼(주)
A001420,태원물산,KR7001420009,태원물산(주)
A001430,세아베스틸지주,KR7001430008,(주)세아베스틸지주
A001440,대한전선,KR7001440007,대한전선(주)
A001450,현대해상,KR7001450006,현대해상화재보험(주)
A001460,BYC,KR7001460005,(주)BYC
A001470,삼부토건,KR7001470004,삼부토건(주)
A001500,현대차증권,KR7001500008,현대차증권(주)
A001510,SK증권,KR7001510007,SK증권(주)
A001520,동양,KR7001520006,(주)동양
A001530,DI동일,KR7001530005,디아이동일(주)
A001540,안국약품,KR7001540004,안국약품(주)
A001550,조비,KR7001550003,(주)조비
A001560,제일연마,KR7001560002,제일연마공업(주)
A001570,금양,KR7001570001,(주)금양
A001620,케이비아이동국실업,KR7001620004,케이비아이동국실업(주)
A001630,종근당홀딩스,KR7001630003,(주)종근당홀딩스
A001680,대상,KR7001680008,대상(주)
A001720,신영증권,KR7001720002,신영증권(주)
A001740,SK네트웍스,KR7001740000,SK네트웍스(주)
A001750,한양증권,KR7001750009,한양증권(주)
A001770,SHD,KR7001770007,(주)신화다이나믹스
A001780,알루코,KR7001780006,(주)알루코
A001790,대한제당,KR7001790005,대한제당(주)
A001800,오리온홀딩스,KR7001800002,(주)오리온홀딩스
A001810,무림SP,KR7001810001,무림에스피(주)
A001820,삼화콘덴서,KR7001820000,삼화콘덴서공업(주)
A001840,이화공영,KR7001840008,이화공영(주)
A001940,KISCO홀딩스,KR7001940006,KISCO홀딩스(주)
A002020,코오롱,KR7002020006,(주)코오롱
A002030,아세아,KR7002030005,아세아(주)
A002070,비비안,KR7002070001,(주)비비안
A002100,경농,KR7002100006,(주)경농
A002140,고려산업,KR7002140002,고려산업(주)
A002150,도화엔지니어링,KR7002150001,(주)도화엔지니어링
A002170,삼양통상,KR7002170009,삼양통상(주)
A002200,한국수출포장,KR7002200004,한국수출포장공업(주)
A002210,동성제약,KR7002210003,동성제약(주)
A002220,한일철강,KR7002220002,한일철강(주)
A002230,피에스텍,KR7002230001,피에스텍(주)
A002240,고려제강,KR7002240000,고려제강(주)
A002290,삼일기업공사,KR7002290005,(주)삼일기업공사
A002310,아세아제지,KR7002310001,아세아제지(주)
A002320,한진,KR7002320000,(주)한진
A002350,넥센타이어,KR7002350007,넥센타이어(주)
A002360,SH에너지화학,KR7002360006,(주)SH에너지화학
A002380,KCC,KR7002380004,(주)케이씨씨
A002390,한독,KR7002390003,(주)한독
A002410,범양건영,KR7002410009,범양건영(주)
A002420,세기상사,KR7002420008,세기상사(주)
A002450,삼익악기,KR7002450005,(주)삼익악기
A002460,HS화성,KR7002460004,에이치에스화성(주)
