기준일자,종목코드,종목명,현재가,전일대비,등락률,시가,고가,저가,거래량,시가총액
2025-03-21,000020,동화약품,6090,-40,-0.65,6130,6140,6050,43308,170102652300
2025-03-24,000020,동화약품,6120,30,0.49,6100,6150,6070,22901,170940596400
2025-03-25,000020,동화약품,6160,40,0.65,6090,6240,6090,34584,172057855200
2025-03-26,000020,동화약품,6130,-30,-0.49,6170,6210,6100,25512,171219911100
2025-03-21,000040,KR모터스,390,-16,-3.94,403,404,390,215562,23451818520
2025-03-24,000040,KR모터스,391,1,0.26,390,397,382,83623,23511951388
2025-03-25,000040,KR모터스,388,-3,-0.77,386,400,386,69306,23331552784
2025-03-26,000040,KR모터스,388,0,0.0,388,392,385,78475,23331552784
2025-03-21,000050,경방,6480,-160,-2.41,6710,6710,6480,18367,177650949600
2025-03-24,000050,경방,6430,-50,-0.77,6450,6480,6420,1580,176280186100
2025-03-25,000050,경방,6480,50,0.78,6440,6530,6400,2417,177650949600
2025-03-26,000050,경방,6470,-10,-0.15,6480,6550,6460,2415,177376796900
2025-03-21,000070,삼양홀딩스,62800,2100,3.46,60600,62800,60200,26679,537836218800
2025-03-24,000070,삼양홀딩스,61700,-1100,-1.75,62400,62500,61200,13636,528415520700
2025-03-25,000070,삼양홀딩스,60300,-1400,-2.27,61300,61900,60300,12024,516425541300
2025-03-26,000070,삼양홀딩스,60300,0,0.0,60300,60500,60000,10878,516425541300
2025-03-21,000075,삼양홀딩스우,59800,500,0.84,59200,59900,59200,2309,18182668400
2025-03-24,000075,삼양홀딩스우,60200,400,0.67,61000,61000,60000,1185,18304291600
2025-03-25,000075,삼양홀딩스우,59800,-400,-0.66,60300,60300,59800,655,18182668400
2025-03-26,000075,삼양홀딩스우,60100,300,0.5,59700,60300,59700,44,18273885800
2025-03-21,000080,하이트진로,19740,250,1.28,19520,19800,19370,204535,1384437481140
2025-03-24,000080,하이트진로,19770,30,0.15,19840,20000,19720,162941,1386541489470
2025-03-25,000080,하이트진로,19770,0,0.0,19900,19910,19600,102356,1386541489470
2025-03-26,000080,하이트진로,19670,-100,-0.51,19860,19860,19620,95683,1379528128370
2025-03-21,000087,하이트진로2우B,15200,10,0.07,15250,15250,15150,313,17178097600
2025-03-24,000087,하이트진로2우B,15180,-20,-0.13,15250,15250,15160,1101,17155494840
2025-03-25,000087,하이트진로2우B,15190,10,0.07,15360,15360,15160,303,17166796220
2025-03-26,000087,하이트진로2우B,15170,-20,-0.13,15310,15310,15170,331,17144193460
2025-03-21,000100,유한양행,121200,-9900,-7.55,129200,131800,121100,2007987,9721338556800
2025-03-24,000100,유한양행,119600,-1600,-1.32,122000,122700,119600,440251,9593004054400
2025-03-25,000100,유한양행,125800,6200,5.18,120200,128600,119200,2307338,10090300251200
2025-03-26,000100,유한양행,121600,-4200,-3.34,127100,127100,121300,674565,9753422182400
2025-03-21,000105,유한양행우,108300,-4600,-4.07,112900,113600,107500,13614,127895802000
2025-03-24,000105,유한양행우,106700,-1600,-1.48,108300,109400,106700,5251,126006298000
2025-03-25,000105,유한양행우,112800,6100,5.72,108500,116800,106500,33861,133210032000
